trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
484,False,"{'a': 0.5, 'e': 0.00771674563961725}",20,11,14.44314640387024,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.5, 'e': 0.007639578183221077}",20,16,7.56637762383781,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.5, 'e': 0.0075631824013888665}",20,13,13.046362833351228,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.5, 'e': 0.007487550577374978}",30,20,17.41415830142636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.5, 'e': 0.007412675071601228}",20,0,26.717555674760835,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
489,False,"{'a': 0.5, 'e': 0.007338548320885215}",25,17,12.846084981504452,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.5, 'e': 0.0072651628376763635}",25,7,34.05600976680122,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.5, 'e': 0.0071925112092996}",20,12,12.523325688579396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.5, 'e': 0.007120586097206604}",30,3,49.79306857009606,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.5, 'e': 0.007049380236234538}",25,0,34.88486814630442,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
494,False,"{'a': 0.5, 'e': 0.006978886433872193}",20,12,15.46344004021171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.5, 'e': 0.006909097569533471}",25,18,12.763655136548469,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.5, 'e': 0.006840006593838137}",25,10,-12.86592717475485,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
497,False,"{'a': 0.5, 'e': 0.0067716065278997555}",20,16,5.864674938547451,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.5, 'e': 0.006703890462620758}",20,16,6.714217417833734,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.5, 'e': 0.006636851557994551}",25,15,19.62204850689144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.5, 'e': 0.006570483042414605}",25,8,31.05937045579786,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.5, 'e': 0.006504778211990459}",30,18,21.074701711010093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.5, 'e': 0.006439730429870554}",20,12,14.484761852267994,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.5, 'e': 0.0063753331255718484}",25,14,22.27138527446085,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.5, 'e': 0.00631157979431613}",25,14,21.42578087374636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.5, 'e': 0.006248463996372969}",30,8,36.33064622197873,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.5, 'e': 0.006185979356409239}",25,14,20.25186625104927,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.5, 'e': 0.006124119562845147}",35,20,31.220214221419237,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.5, 'e': 0.006062878367216695}",25,0,38.892245501631315,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
509,False,"{'a': 0.5, 'e': 0.006002249583544528}",25,17,18.860504916294232,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.5, 'e': 0.005942227087709083}",20,9,20.43272797379646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.5, 'e': 0.005882804816831992}",20,4,27.255754519959176,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.5, 'e': 0.005823976768663672}",20,3,34.77126150120759,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.5, 'e': 0.005765737000977035}",25,18,13.692248317734158,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.5, 'e': 0.005708079630967265}",30,13,25.59916096481118,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.5, 'e': 0.005650998834657592}",20,9,20.071298512095833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.5, 'e': 0.005594488846311016}",30,13,7.425854381134429,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
517,False,"{'a': 0.5, 'e': 0.005538543957847906}",25,18,12.6144145848657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.5, 'e': 0.005483158518269427}",30,14,31.33273911915149,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.5, 'e': 0.005428326933086733}",20,16,7.354521575808697,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.5, 'e': 0.005374043663755866}",20,5,25.71821408992046,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.5, 'e': 0.005320303227118307}",20,0,25.787662430227204,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
